OTU	Phylum	Subphylum	Order	Class	Family	Genus	Species	taxon	trophicMode	guild	confidenceRanking	citationSource
Cluster_280	Basidiomycota	undefined	Agaricomycetes	Sebacinales	Sebacinaceae	Piriformospora	Piriformospora__indica	Piriformospora	Saprotroph-Symbiotroph	Endophyte-Orchid Mycorrhizal-Undefined Saprotroph	Probable	"Costa IPMW, et al. 2012. Mycotaxon 119:26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)) (as grass endophyte); Basiewicz, et al. 2012. Fungal Biology 116:204-213 ((https://doi.org/10.1016/j.funbio.2011.11.003)) (as orchid mycorrhizae); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph)"
Cluster_32	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_367	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_525	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_566	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__sp.__A38	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_64	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__wolfii	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_72	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella	Mortierella__sp.__A38	Mortierella	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_105	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_106	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_123	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__MP8	Rhizophydium	Saprotroph	na	na	na
Cluster_130	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	Neolecta	Multi-affiliation	Neolecta	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_139	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	Neolecta	Multi-affiliation	Neolecta	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_148	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_150	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_158	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Discinaceae	Gyromitra	Gyromitra__californica	Gyromitra	Saprotroph	Undefined Saprotroph	Probable	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)"
Cluster_16	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	Geranomyces__variabilis	Geranomyces	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_19	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_199	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Rhizophlyctis	Rhizophlyctis__rosea	Rhizophlyctis	Saprotroph	Undefined Saprotroph	Probable	"James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))"
Cluster_208	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Candida	Multi-affiliation	Candida	Saprotroph	na	na	na
Cluster_241	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	undefined	Powellomycetaceae__sp.__G__RS-2011	Powellomycetaceae__sp.__G__RS-2011	Saprotroph	na	na	na
Cluster_243	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_253	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_256	Basidiomycota	undefined	Agaricomycetes	Russulales	Stereaceae	Xylobolus	Multi-affiliation	Xylobolus	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_262	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_265	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Candida	Candida__sp.__BG01-7-24-002F-2-1	Candida	Saprotroph	na	na	na
Cluster_27	Ascomycota	Pezizomycotina	Dothideomycetes	Patellariales	Patellariaceae	Rhytidhysteron	Rhytidhysteron__rufulum	Rhytidhysteron	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_29	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia__auricolor	Orbilia	Saprotroph	Wood Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_299	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces__sp.__JEL178	Lobulomyces	Saprotroph	na	na	na
Cluster_302	Ascomycota	undefined	undefined	undefined	undefined	Lunulospora	Lunulospora__curvula	Lunulospora	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_304	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces__aspiralis	Spiromyces	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_31	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Multi-affiliation	Multi-affiliation	Orbiliaceae	Saprotroph	Wood Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_311	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_317	Ascomycota	Pezizomycotina	Dothideomycetes	Patellariales	Patellariaceae	Rhytidhysteron	Rhytidhysteron__rufulum	Rhytidhysteron	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_323	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Dioszegia	Multi-affiliation	Dioszegia	Saprotroph	na	na	na
Cluster_324	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia__polytricha	Auricularia	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_325	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_327	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__MP8	Rhizophydium	Saprotroph	na	na	na
Cluster_332	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_337	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_347	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_356	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__MP8	Rhizophydium	Saprotroph	na	na	na
Cluster_359	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_36	Ascomycota	undefined	undefined	undefined	undefined	Lunulospora	Lunulospora__curvula	Lunulospora	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_376	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_38	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__MP8	Rhizophydium	Saprotroph	na	na	na
Cluster_390	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces__sp.__JEL178	Lobulomyces	Saprotroph	na	na	na
Cluster_421	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces__sp.__JEL178	Lobulomyces	Saprotroph	na	na	na
Cluster_432	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	Geranomyces__variabilis	Geranomyces	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_448	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces__sp.__JEL178	Lobulomyces	Saprotroph	na	na	na
Cluster_45	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	Neolecta	Multi-affiliation	Neolecta	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_47	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Candida	Candida__sp.__BG01-7-24-002F-2-1	Candida	Saprotroph	na	na	na
Cluster_485	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces__sp.__JEL178	Lobulomyces	Saprotroph	na	na	na
Cluster_54	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	Mycoemilia	Mycoemilia__scoparia	Mycoemilia	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_63	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_662	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium	Tetracladium__marchalianum	Tetracladium	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_74	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Dipodascopsis	Multi-affiliation	Dipodascopsis	Saprotroph	na	na	na
Cluster_81	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_9	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_90	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	undefined	Entophlyctis	Entophlyctis__helioformis	Entophlyctis	Saprotroph	Undefined Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_92	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	uncultured__Auriculariaceae	Saprotroph	na	na	na
Cluster_209	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps__konnoana	Ophiocordyceps	Pathotroph-Symbiotroph	Endophyte-Insect Pathogen	Probable	"Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_191	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Multi-affiliation	Multi-affiliation	Botryosphaeriaceae	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_62	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Basidiobolus	Multi-affiliation	Basidiobolus	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_79	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Basidiobolus	Multi-affiliation	Basidiobolus	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
